,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,Region,State,Zip,AHJ,RoofType,RoofSqFoot,NumMountingPlanes,NumPanels,Utility,ProductTypeAlt,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,NumStories,Status
38877,JB-9678676-00,9.1,14202.5177,13547.0,SoCal and HI,HI,96701,City and County of Honolulu,Comp Shingle Roof,3612.0,3,28,Hawaiian Electric Company,PV+Storage,2.0,0.28342399999999995,371.7609,30300.0,0.075,49601.0,0.018571429,One Story,0
38878,JB-9601895-00,4.55,6677.7178,7463.0,Pacific Northwest,CA,96002,Redding,Comp Shingle Roof,2807.0,2,14,City of Redding Electric Utility,PV Only,,0.183159,161.9564,3300.0,0.028999999999999998,90.0,0.01,Two Stories,0
38879,JB-9601791-00,10.075,8390.7747,8484.0,Pacific Northwest,CA,96088,Shasta County,Comp Shingle Roof,3016.0,3,31,Pacific Gas and Electric Company,PV Only,,0.238054,216.3509,10.0,0.028999999999999998,90.0,0.30322580600000004,,0
38880,JB-9601578-00,11.7,15029.608999999999,15202.0,Pacific Northwest,CA,96080,Red Bluff,Comp Shingle Roof,1779.0,3,39,Pacific Gas and Electric Company,PV Only,,0.255275,371.4382,10.0,0.028999999999999998,90.0,0.10265306099999999,,0
38881,JB-9597419-00,10.8,13669.6793,13711.0,Pacific Northwest,CA,95949,Nevada County,Comp Shingle Roof,3429.0,3,36,Pacific Gas and Electric Company,PV Only,,0.25198899999999996,335.9656,10.0,0.028999999999999998,90.0,0.068333333,,0
38882,JB-9587899-00,5.4,6551.8568,6695.0,Pacific Northwest,CA,95821,Sacramento County,Comp Shingle Roof,2373.0,4,18,Sacramento Municipal Utility District,PV Only,,0.168164,145.4718,998504747.0,0.028999999999999998,90.0,0.005625,,0
38883,JB-9575984-00,23.075,33144.6571,39563.0,Pacific Northwest,CA,95746,Placer County,Round Tile,8856.0,7,71,Pacific Gas and Electric Company,PV+Storage,2.0,0.33474499999999996,1151.6724,10.0,0.028999999999999998,90.0,0.033239437000000004,Two Stories,0
38884,JB-95616852-00,6.6,10227.5099,10570.0,Pacific Northwest,CA,95624,Elk Grove,Round Tile,2326.0,3,22,Sacramento Municipal Utility District,PV Only,,0.099694,137.062,998504706.0,0.028999999999999998,90.0,0.008181818,,0
38885,JB-95616657-00,6.9,7379.954000000001,7669.0,Pacific Northwest,CA,95674,Sutter County,Comp Shingle Roof,6723.0,1,23,Pacific Gas and Electric Company,PV Only,,0.247567,206.2629,10.0,0.028999999999999998,90.0,0.02,One Story,0
38886,JB-9543476-00,7.2,10850.442,11172.0,Pacific Northwest,CA,95467,Lake County,Mixed Surfaces,3606.0,3,24,Pacific Gas and Electric Company,PV Only,,0.243718,274.9481,10.0,0.028999999999999998,90.0,0.0025,,0
38887,JB-9543460-00,10.2,13225.91,10750.0,Pacific Northwest,CA,95409,Santa Rosa,Comp Shingle Roof,2997.0,3,34,Pacific Gas and Electric Company,PV Only,,0.279903,300.4244,10.0,0.028999999999999998,90.0,0.067058824,,0
38888,JB-9543453-00,7.2,11984.0525,10724.0,Pacific Northwest,CA,95476,Sonoma,Comp Shingle Roof,2710.0,1,24,Pacific Gas and Electric Company,PV+Storage,1.0,0.24885,269.7011,10.0,0.028999999999999998,90.0,0.0,One Story,0
38889,JB-9543390-00,6.5,8146.0876,6163.0,Pacific Northwest,CA,95404,Santa Rosa,Comp Shingle Roof,1497.0,2,20,Pacific Gas and Electric Company,PV Only,,0.24290100000000003,174.4274,10.0,0.028999999999999998,90.0,0.12300000000000001,,0
38890,JB-95313596-00,6.825,10772.407,11588.0,Pacific Northwest,CA,95330,Lathrop,Comp Shingle Roof,2579.0,3,21,Pacific Gas and Electric Company,PV Only,,0.24604099999999998,285.6405,10.0,0.028999999999999998,90.0,0.008571429,One Story,0
38891,JB-95313557-00,3.0,4581.9579,4381.0,Pacific Northwest,CA,95341,Merced,Flat Tile,2598.0,1,10,Pacific Gas and Electric Company,PV Only,,0.206198,123.3263,10.0,0.028999999999999998,90.0,0.08,,0
38892,JB-95313486-00,8.1,13118.6345,13343.0,Pacific Northwest,CA,95361,Oakdale,Comp Shingle Roof,3001.0,2,27,Pacific Gas and Electric Company,PV Only,,0.24999699999999997,326.0231,10.0,0.028999999999999998,90.0,0.035555556,,0
38893,JB-95313305-00,8.4,12301.2453,12470.0,Pacific Northwest,CA,95377,Tracy,Flat Tile,4072.0,1,28,Pacific Gas and Electric Company,PV Only,,0.255277,313.3221,10.0,0.028999999999999998,90.0,0.05,,0
38894,JB-9526728-00,3.3,4109.7973,5397.0,Pacific Northwest,CA,95203,Stockton,Comp Shingle Roof,2138.0,4,11,Pacific Gas and Electric Company,PV Only,,0.228733,153.8022,998504487.0,0.028999999999999998,90.0,0.150909091,,0
38895,JB-9526585-00,10.8,13277.6946,13305.0,Pacific Northwest,CA,95215,San Joaquin County,Comp Shingle Roof,4725.0,3,36,Pacific Gas and Electric Company,PV Only,,0.266264,346.1492,10.0,0.028999999999999998,90.0,0.125277778,,0
38896,JB-9518878-00,6.6,10205.8633,10355.0,Pacific Northwest,CA,95117,San Jose,Comp Shingle Roof,2585.0,2,22,Pacific Gas and Electric Company,PV Only,,0.266407,279.5651,10.0,0.028999999999999998,90.0,0.002608696,,0
