,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,State,RoofSqFoot,NumMountingPlanes,NumPanels,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,Reroof,MPU,Status,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total
9642,JB-1902609-00,5.04,4124.5917,11589.0,PA,2219.0,1,18,,0.159099,501.7838,9991702.0,0.0337,998504099.0,0.43869565200000005,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9643,JB-1902306-00,5.985,7891.6271,9688.0,PA,1207.0,1,19,,0.170122,485.47900000000004,9991702.0,0.0337,998504099.0,0.01,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9644,JB-189528-00,8.84,11190.7897,12548.0,PA,2664.0,4,34,,0.160744,524.6483,9991702.0,0.0337,998504099.0,0.044705882,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9645,JB-180763-00,6.44,7070.7621,11796.0,PA,1588.0,1,23,,0.13497,480.8094,9991710.0,0.0337,998504099.0,0.03,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9646,JB-180761-00,8.4,9708.0156,16043.0,PA,2618.0,3,30,,0.12595699999999999,516.5279,9991700.0,0.0337,998504099.0,0.024,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9647,JB-175471-00,8.84,9616.7492,10403.0,PA,2232.0,2,34,,0.134984,465.1535,9991710.0,0.0337,998504099.0,0.0,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9648,JB-175463-00,8.82,8651.2589,14920.0,PA,3661.0,5,28,,0.13613699999999998,517.3978,9991710.0,0.0337,998504099.0,0.404242424,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9649,JB-173419-00,3.64,4062.3792,4356.0,PA,1007.0,1,13,,0.146527,401.3233,9991700.0,0.0337,998504099.0,0.09,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9650,JB-170887-00,10.4,11852.7339,12054.0,PA,3336.0,2,40,,0.128494,477.2063,9991700.0,0.0337,998504099.0,0.155,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9651,JB-170662-00,6.24,7054.3506,9048.0,PA,2012.0,3,24,,0.13408,449.2306,9991710.0,0.0337,998504099.0,0.124545455,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9652,JB-1701036-00,19.04,20468.9532,25321.0,PA,3030.0,4,68,,0.138241,639.8343,9991710.0,0.0337,998504099.0,0.062058824000000005,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9653,JB-152930-00,5.32,5919.0186,6044.0,PA,4010.0,1,19,,0.16878800000000002,85.0128,9991698.0,0.0337,40003.0,0.092692308,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9654,JB-1521222-00,12.6,12102.4445,15850.0,PA,3809.0,2,45,,0.149342,545.3898,9991698.0,0.0337,998504099.0,0.159148936,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9655,JB-1521083-00,13.44,13425.8471,13652.0,PA,1912.0,2,48,,0.15274300000000002,521.9041,9991698.0,0.0337,998504099.0,0.007169811,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
9656,JB-151707-00,6.72,6948.596,7560.0,PA,1567.0,2,24,,0.1609,449.5012,9991698.0,0.0337,998504099.0,0.04,0,0,1,972,1992356,8701838,5678962,5876264,23098142,18162,45518365
