"Zip","JobId","Latitude","Longitude","AverageTilt","PaymentType","GrossPrice","FederalTaxCredit","Bedroom","HomeSqFoot","HeatingType","Heating","CoolingType","Cooling","YearBuilt","EngineeringSoldkWSize","EngineeringSoldAnnualkWh","EnergyConsumption","Region","State","AHJ","RoofType","RoofSqFoot","NumMountingPlanes","NumPanels","Utility","ProductTypeAlt","PowerwallCount","UtilityCostPerKWh","OldBill","UtilityRatePlanId","UtilityInflationRate","GasRatePlanID","AverageShading","NumStories","Status","Insolation","yearly_sunlight_kwh_kw_threshold_avg","yearly_sunlight_kwh_n","yearly_sunlight_kwh_s","yearly_sunlight_kwh_e","yearly_sunlight_kwh_w","yearly_sunlight_kwh_f","yearly_sunlight_kwh_median","yearly_sunlight_kwh_total","ZIP","Avg.Age","Avg.Age.Male","Avg..Age.Female","HS.or.Below","Undergrad.or.Below","Graduate.School","Total.Homes","Avg.Value","Median.Income","Population"
95336,"JB-95313397-00",37.811696,-121.206779,26,"Lease",64260,15951.6,3,1686,"",NA,"",NA,1985,12.6,18085.8657,17486,"Pacific Northwest","CA","Manteca","Comp Shingle Roof",3463,3,42,"Pacific Gas and Electric Company","PV Only",NA,0.261173,428.6192,10,0.029,90,0.005128205,"Two Stories",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95360,"JB-95313398-00",37.324015,-121.022595,25,"Loan",62448.75,18734.625,4,2682,"",NA,"",NA,2004,14.625,22062.4649,20595,"Pacific Northwest","CA","Newman","Flat Tile",3932,2,45,"Pacific Gas and Electric Company","PV Only",NA,0.278754,526.4577,10,0.029,90,0,"",1,5.3,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313399-00",37.720932,-121.438374,22,"Loan",24054,7216.2,3,1880,"Gas",1,"Central",1,1990,6.3,7733.6272,6621,"Pacific Northwest","CA","Tracy","Flat Tile",1681,3,21,"Pacific Gas and Electric Company","PV Only",NA,0.223476,171.3499,998504487,0.029,90,0.061428571,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95337,"JB-95313400-00",37.789082,-121.2223,18,"Lease",44370,11014.2,4,2016,"",NA,"",NA,1989,8.7,12900.9148,10140,"Pacific Northwest","CA","Manteca","Round Tile",2828,3,29,"Pacific Gas and Electric Company","PV Only",NA,0.241746,252.322,998504487,0.029,90,0.052857143,"One Story",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95301,"JB-95313401-00",37.357101,-120.59962,18,"Lease",39780,9874.8,4,2143,"",NA,"",NA,1974,7.8,11696.5335,11833,"Pacific Northwest","CA","Atwater","Comp Shingle Roof",3505,2,26,"Pacific Gas and Electric Company","PV Only",NA,0.244761,289.4015,10,0.029,90,0,"",0,5.3,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95304,"JB-95313403-00",37.71403,-121.40825,24,"Lease",24480,6076.8,4,2368,"",NA,"",NA,2004,4.8,7567.7434,7551,"Pacific Northwest","CA","Tracy","Comp Shingle Roof",2262,1,16,"Pacific Gas and Electric Company","PV Only",NA,0.22996,192.7492,10,0.029,90,0.01,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313411-00",37.729993,-121.440961,30,"Loan",29118,8735.4,3,1450,"Gas",1,"Central",1,1980,6.9,8213.1781,11345,"Pacific Northwest","CA","Tracy","Round Tile",3182,1,23,"Pacific Gas and Electric Company","PV Only",NA,0.250147,284.54,10,0.029,90,0,"",0,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95304,"JB-95313413-00",37.701409,-121.404423,26,"Loan",36743.85,11023.155,4,3182,"",NA,"",NA,1999,10.725,16439.1168,16913,"Pacific Northwest","CA","San Joaquin County","Round Tile",6331,2,33,"Pacific Gas and Electric Company","PV Only",NA,0.26386,419.9361,10,0.029,90,0.050909091,"Two Stories",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95301,"JB-95313414-00",37.344707,-120.585586,24,"Loan",22204,6661.2,4,1997,"None",0,"Central",1,1997,5.2,8730.8394,8718,"Pacific Northwest","CA","Atwater","Round Tile",3282,1,16,"Pacific Gas and Electric Company","PV Only",NA,0.234134,218.1452,10,0.029,90,0.03,"",1,5.3,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95376,"JB-95313420-00",37.715311,-121.421793,26,"Loan",25320,7596,5,2316,"",NA,"",NA,2002,6,8446.987,11605,"Pacific Northwest","CA","Tracy","Comp Shingle Roof",2310,2,20,"Pacific Gas and Electric Company","PV Only",NA,0.246085,286.0317,998504487,0.029,90,0.01,"",1,5.21,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
